iter	Passed	Remaining
0	265	26312
1	269	13200
2	272	8826
3	276	6639
4	280	5333
5	284	4458
6	288	3827
7	291	3354
8	295	2990
9	299	2698
10	303	2458
11	312	2289
12	315	2114
13	319	1963
14	323	1830
15	326	1714
16	330	1612
17	333	1520
18	337	1438
19	340	1363
20	344	1295
21	347	1233
22	351	1177
23	353	1120
24	357	1073
25	361	1027
26	365	986
27	368	947
28	371	910
29	375	877
30	379	844
31	382	813
32	386	784
33	389	756
34	393	730
35	396	705
36	400	682
37	404	660
38	408	638
39	411	617
40	415	597
41	419	579
42	422	560
43	426	543
44	430	525
45	433	509
46	437	493
47	441	477
48	444	463
49	448	448
50	452	434
51	455	420
52	459	407
53	463	394
54	466	381
55	470	369
56	473	357
57	478	346
58	481	334
59	485	323
60	489	312
61	492	302
62	496	291
63	500	281
64	503	271
65	507	261
66	511	251
67	514	242
68	518	233
69	522	223
70	526	214
71	529	205
72	533	197
73	536	188
74	540	180
75	544	171
76	548	163
77	551	155
78	556	147
79	559	139
80	563	132
81	567	124
82	570	116
83	574	109
84	578	102
85	581	94
86	585	87
87	589	80
88	593	73
89	596	66
90	600	59
91	604	52
92	608	45
93	611	39
94	615	32
95	618	25
96	622	19
97	625	12
98	629	6
99	633	0
